ringnr;recapture;capture_method;Sex;Age;age_nestling;day;month;year;time_hour;time_min;time_ringing;location;broodID;xCoord;yCoord;Wing;method_wing;P1;P8;Tarsus;tail;weight;Fat;Muscle;Bill_length;Bill_width;Bill_height;ringer;ring_owner;owner;salivary_swap;sex_genetics
N   630793;first capture;white mistnet;;4;NA;15;3;2021;9;52;;Arosa;;769184;182582;121;;NA;94.5;22.8;NA;41.5;4;2;11.4;7.1;8.9;SD;SD;SOI;yes;M
N   630794;first capture;white mistnet;;4;NA;15;3;2021;10;30;;Arosa;;769184;182582;119;;NA;96;21.8;NA;40.5;2;2;10.8;NA;NA;CN;SD;SOI;yes;F
N   630795;first capture;white mistnet;1;4;NA;15;3;2021;10;30;;Arosa;;769184;182582;125;;NA;95.5;22.8;NA;39;3;2;11.7;NA;NA;SD;SD;SOI;yes;M
N   630796;first capture;white mistnet;;4;NA;15;3;2021;10;33;;Arosa;;769184;182582;122.5;;NA;92.5;22.2;NA;37.5;3;2;11.4;NA;NA;SD;SD;SOI;yes;M
N   630797;first capture;white mistnet;1;4;NA;15;3;2021;10;36;;Arosa;;769184;182582;126;;NA;100;23.7;NA;44.5;3;2;11.6;6.6;7.8;SD;SD;SOI;yes;M
N   630798;first capture;white mistnet;2;4;NA;15;3;2021;11;36;;Arosa;;769184;182582;115;;NA;89.5;22.6;NA;40.5;4;2;11.2;7.7;8.2;SD;SD;SOI;yes;F
N   630799;first capture;white mistnet;;4;NA;15;3;2021;12;58;;Arosa;;769184;182582;122;;NA;94;22.4;NA;39;2;2;11.4;NA;NA;CN;SD;SOI;yes;M
N   630800;first capture;white mistnet;1;4;NA;15;3;2021;8;41;;Arosa;;769184;182582;120;;NA;92;22;NA;39;3;2;12.5;NA;NA;SD;SD;SOI;yes;M
N   630801;first capture;white mistnet;0;4;NA;10;1;2022;9;51;;Tiefenbach;;678424;160710;120.5;;NA;92.5;22.5;NA;43.5;4;1;10.3;7.4;7.3;FK;FK;SOI;yes;M
N   630802;first capture;white mistnet;0;4;NA;10;1;2022;9;51;;Tiefenbach;;678424;160710;123;;NA;98;23;NA;43;4;1;11;6.3;7.5;DV;FK;SOI;yes;M
N   630803;first capture;white mistnet;0;4;NA;10;1;2022;10;50;;Tiefenbach;;678424;160710;125.5;;NA;98.5;24.1;NA;38.5;3;1;10.8;6.6;7.7;DV;FK;SOI;yes;M
N   630804;recapture;whoosh net;0;4;NA;2;2;2022;11;5;;Tiefenbach;;678372;160693;122;;NA;95.5;21.5;NA;48;4;2;10.1;7.6;7.5;CS;FK;SOI;yes;M
N   630804;recapture;whoosh net;0;4;NA;2;2;2022;11;5;;Tiefenbach;;678372;160693;122;;NA;95.5;21.5;NA;48;4;2;10.1;7.6;7.5;CS;FK;SOI;yes;M
N   630804;recapture;whoosh net;0;4;NA;2;2;2022;11;5;;Tiefenbach;;678372;160693;122;;NA;95.5;21.5;NA;48;4;2;10.1;7.6;7.5;CS;FK;SOI;yes;M
N   630804;first capture;white mistnet;0;4;NA;10;1;2022;10;50;;Tiefenbach;;678424;160710;123;;NA;93;NA;NA;41.5;3;1;9.8;7.2;7.4;FK;FK;SOI;yes;M
N   630804;first capture;white mistnet;0;4;NA;10;1;2022;10;50;;Tiefenbach;;678424;160710;123;;NA;93;NA;NA;41.5;3;1;9.8;7.2;7.4;FK;FK;SOI;yes;M
N   630804;first capture;white mistnet;0;4;NA;10;1;2022;10;50;;Tiefenbach;;678424;160710;123;;NA;93;NA;NA;41.5;3;1;9.8;7.2;7.4;FK;FK;SOI;yes;M
N   630804;recapture;white mistnet;0;4;NA;1;4;2022;10;50;;Tiefenbach;;678407;160655;120.5;;NA;94.5;22.5;NA;37.5;2;2;10.7;7.5;8;SD;SD;SOI;yes;M
N   630804;recapture;white mistnet;0;4;NA;1;4;2022;10;50;;Tiefenbach;;678407;160655;120.5;;NA;94.5;22.5;NA;37.5;2;2;10.7;7.5;8;SD;SD;SOI;yes;M
